Symbol,Date,Close,Event_Type
ICICIBANK,2020-04-08,318.95,Death Cross
HEROMOTOCO,2020-07-10,2681.25,Golden Cross
M&M,2020-07-22,592.0,Golden Cross
EICHERMOT,2020-08-05,21958.75,Golden Cross
BAJAJ-AUTO,2020-08-06,2991.8,Golden Cross
MARUTI,2020-08-26,7008.65,Golden Cross
EICHERMOT,2020-08-31,2092.0,Death Cross
TATAMOTORS,2020-09-18,147.9,Golden Cross
HDFCBANK,2020-09-23,1047.25,Golden Cross
HDFCBANK,2020-09-29,1062.55,Death Cross
HDFCBANK,2020-10-05,1114.35,Golden Cross
KOTAKBANK,2020-11-05,1675.45,Golden Cross
ICICIBANK,2020-11-09,462.7,Golden Cross
INDUSINDBK,2020-11-12,769.2,Golden Cross
AXISBANK,2020-11-14,613.15,Golden Cross
SBIN,2020-11-25,243.0,Golden Cross
MARUTI,2021-04-26,6638.9,Death Cross
