Window,Window_Start,Window_End,Policy_Announcement_Date,Market_Response_Day_Zero,Analysis_Level,Entity,Sector,Event_Observations,Event_Cumulative_Return,Event_Mean_Daily_Return,Event_Daily_Volatility,Event_Mean_Abnormal_Return,Event_Cumulative_Abnormal_Return,Baseline_Observations,Baseline_Cumulative_Return,Baseline_Mean_Daily_Return,Baseline_Daily_Volatility,Baseline_Mean_Abnormal_Return,Baseline_Cumulative_Abnormal_Return,Volatility_Change
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,JSWSTEEL,Metals & Mining,41,-0.06503583319225781,-0.0014339508559858983,0.02054031331831906,-0.00018632161334668928,-0.007639186147214261,247,0.9366154854925965,0.0028284298823737456,0.017319755897877192,0.002537681265812698,0.6268072726557364,0.0032205574204418677
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,KOTAKBANK,Financial Services,41,-0.04344215166421783,-0.000985489549495592,0.01408166648933316,0.00026213969314361704,0.010747727418888298,247,0.1849356548069645,0.00077333449474716,0.013140085358040463,0.00048258587818611275,0.11919871191196985,0.0009415811312926976
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,LT,Construction,41,-0.06177288170493189,-0.0014831025609809965,0.012081308547845825,-0.0002354733183417875,-0.009654406052013287,247,-0.056837675999351744,-5.477768699056251e-05,0.019353318222337414,-0.0003455263035516098,-0.08534499697724762,-0.007272009674491589
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,M&M,Automobile and Auto Components,41,-0.11994177583697263,-0.0029377175938962827,0.018754622540962013,-0.0016900883512570737,-0.06929362240154002,247,0.06689443646387194,0.0003827901812813668,0.015590431799151643,9.20415647203195e-05,0.02273426648591892,0.003164190741810371
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,MARUTI,Automobile and Auto Components,41,-0.0790316337661423,-0.0017939230944377836,0.02076751759249549,-0.0005462938517985746,-0.02239804792374156,247,0.3022797571313991,0.001215231107503589,0.01713305847974167,0.0009244824909425416,0.2283471752628078,0.0036344591127538198
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,NESTLEIND,Fast Moving Consumer Goods,41,-0.05903074533469033,-0.0013516583447321976,0.016419761511142696,-0.0001040291020929886,-0.0042651931858125325,247,0.06158531293638525,0.00035672019299444723,0.01524775263255833,6.597157643339991e-05,0.01629497937904978,0.0011720088785843654
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,NTPC,Power,41,0.09946055293324418,0.0024208715034942105,0.014782446001237608,0.0036685007461334193,0.1504085305914702,247,0.16086105675146856,0.000724084421131933,0.015518508034486577,0.0004333358045708857,0.10703394372900876,-0.0007360620332489687
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,ONGC,Oil Gas & Consumable Fuels,41,0.13446792593977963,0.003191414326918813,0.014972654256223919,0.0044390435695580216,0.18200078635187888,247,0.037245392822503165,0.0003340938082545995,0.019230557875540434,4.3345191693552246e-05,0.010706262348307405,-0.004257903619316515
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,POWERGRID,Power,41,0.0491664311952531,0.0013022839588730775,0.016377107290124777,0.0025499132015122865,0.10454644126200374,247,0.33496793662768876,0.001266097637835497,0.013856154837107924,0.0009753490212744497,0.24091120825478907,0.002520952453016853
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,RELIANCE,Oil Gas & Consumable Fuels,41,-0.08020739404869237,-0.0019632336859034915,0.01226975876637322,-0.0007156044432642828,-0.029339782173835594,247,0.2136134821623974,0.0008893725174158089,0.014534417815525448,0.0005986239008547616,0.1478601035111261,-0.002264659049152228
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,SBIN,Financial Services,41,0.004638577502898755,0.00036818060316112246,0.022952849959027008,0.0016158098458003314,0.06624820367781359,247,0.06220488606035679,0.0005069903887708849,0.023082038753329683,0.00021624177220983752,0.05341171773582987,-0.00012918879430267455
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,SHREECEM,Construction Materials,41,-0.12713144891751416,-0.0030259158075237685,0.024118284583577395,-0.0017782865648845593,-0.07290974916026693,247,0.4123113264203051,0.0015882459718562108,0.019559662186067146,0.0012974973552951634,0.32048184675790536,0.004558622397510249
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,SUNPHARMA,Healthcare,41,-0.10050585729499484,-0.0023242658479514042,0.022740499097261953,-0.0010766366053121955,-0.04414210081780001,247,-0.1889440725545245,-0.0007128213227618991,0.01642584195913991,-0.0010035699393229464,-0.24788177501276776,0.006314657138122043
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,TATAMOTORS,Automobile and Auto Components,41,-0.18410818455011535,-0.00457238364500277,0.027598883730114983,-0.0033247544023635614,-0.13631493049690602,247,0.6572432986670591,0.0023575145932418764,0.025015491204786525,0.002066765976680829,0.5104911962401648,0.002583392525328458
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,TATASTEEL,Metals & Mining,41,0.06087812077235277,0.0018191913745190084,0.027887244745609323,0.0030668206171582174,0.1257396453034869,247,0.7168496621621618,0.002498084047937227,0.02495692827521569,0.0022073354313761795,0.5452118515499164,0.0029303164703936325
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,TCS,Information Technology,41,-0.07266238702593175,-0.001694245607231147,0.01718479055965654,-0.0004466163645919379,-0.018311270948269454,247,-0.10782041862129899,-0.0003708037817759257,0.013497790582230048,-0.0006615523983369729,-0.16340344238923232,0.0036869999774264937
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,TECHM,Information Technology,41,0.10482430017867639,0.002661269801704444,0.0216741069176367,0.003908899044343653,0.16026486081808977,247,-0.2587850962387427,-0.001075008213459665,0.01663749496790379,-0.0013657568300207124,-0.33734193701511594,0.00503661194973291
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,TITAN,Consumer Durables,41,-0.1737920566658233,-0.004404780816752289,0.02210605759182436,-0.00315715157411308,-0.12944321453863628,247,0.145299145299145,0.0006992149496238557,0.017347674977728975,0.00040846633306280836,0.10089118426651367,0.004758382614095384
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,ULTRACEMCO,Construction Materials,41,-0.08665700704135881,-0.0020115132137998246,0.01982299041827848,-0.0007638839711606158,-0.03131924281758525,247,0.42869075721808647,0.0015583527661768937,0.015089545673320078,0.0012676041496158465,0.3130982249551141,0.004733444744958402
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,UPL,Chemicals,41,0.04157988693841075,0.001291461243327899,0.024499915962738192,0.002539090485967108,0.10410270992465143,247,0.49743818222321234,0.0018705255830068468,0.021828160234776742,0.0015797769664457997,0.3902049107121125,0.0026717557279614494
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,VEDL,Metals & Mining,41,0.24685655632537884,0.0058437958295354635,0.030319668318027685,0.007091425072174672,0.29074842795916156,247,1.1471074380165303,0.003732968945355206,0.03592358521790507,0.0034422203287941587,0.8502284212121572,-0.005603916899877385
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,WIPRO,Information Technology,41,-0.038473634552888325,-0.0008738211740143662,0.013020334008301264,0.0003738080686248428,0.015326130813618555,247,-0.19003141716905825,-0.0007852982051378081,0.01160798007408154,-0.0010760468216988554,-0.2657835649596173,0.001412353934219724
"[-20,+20]",2016-10-10,2016-12-08,2016-11-08,2016-11-09,Stock,ZEEL,Media,41,-0.2085809157637183,-0.005378873833023758,0.025145592485670522,-0.004131244590384549,-0.1693810282057665,247,0.43264897346018816,0.0016281898987290226,0.01863073167177132,0.0013374412821679752,0.33034799669548987,0.006514860813899202
